,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,Virginia Beach,36.85,-75.98,304.26,40,20,4.6,US,1598471599
294,Shingū,33.73,135.98,297.29,83,0,2.37,JP,1598471678
295,Ostrovnoy,68.05,39.51,283.93,89,100,9.34,RU,1598471398
296,Saint-Pierre,-21.34,55.48,293.15,72,20,2.6,RE,1598471678
297,Inírida,3.87,-67.92,301.48,81,98,0.36,CO,1598471678
298,Korla,41.76,86.15,297.82,26,16,7.83,CN,1598471678
299,Codajás,-3.84,-62.06,304.36,50,95,0.85,BR,1598471679
300,Yārāda,17.65,83.27,301.15,88,90,1.0,IN,1598471296
301,Montepuez,-13.13,39.0,294.33,73,0,3.61,MZ,1598471679
302,Mikhaylovka,50.06,43.24,292.8,35,92,0.68,RU,1598471679
303,Sabang,5.89,95.32,301.18,75,3,3.74,ID,1598471467
304,Maroantsetra,-15.43,49.73,294.14,83,59,0.56,MG,1598471679
305,Rāwah,34.48,41.91,303.66,14,0,3.31,IQ,1598471679
306,Buala,-8.14,159.59,300.1,80,50,3.64,SB,1598471679
307,University Place,47.24,-122.55,295.37,52,1,2.6,US,1598471400
308,Salym,60.06,71.48,283.42,93,16,1.72,RU,1598471679
309,Camias,15.17,120.97,300.93,82,100,0.89,PH,1598471679
310,Zhigansk,66.77,123.37,277.19,72,0,0.97,RU,1598471437
311,São Félix do Xingu,-6.64,-51.99,305.63,38,94,0.6,BR,1598471679
312,La Rioja,42.25,-2.5,300.15,54,53,2.1,ES,1598471679
313,Ormara,25.21,64.64,301.65,84,100,10.02,PK,1598471679
314,Douglas,41.3,-96.17,308.15,34,1,8.2,US,1598471680
315,Port Macquarie,-31.43,152.92,278.71,97,0,2.33,AU,1598471680
316,Segezha,63.74,34.32,282.44,91,0,3.42,RU,1598471680
317,Suntar,62.14,117.63,277.28,70,0,0.9,RU,1598471680
318,Touros,-5.2,-35.46,300.15,69,20,7.7,BR,1598471680
319,Cockburn Town,21.46,-71.14,303.15,74,40,4.6,TC,1598471392
320,Roald,62.58,6.13,285.93,81,20,3.6,NO,1598471680
321,Wuda,39.5,106.71,296.35,36,0,6.97,CN,1598471680
322,Herzberg,51.69,13.22,293.15,59,75,11.3,DE,1598471680
323,Magole,-6.37,37.37,295.32,77,13,2.47,TZ,1598471400
324,Ferme-Neuve,46.7,-75.45,289.48,43,0,5.14,CA,1598471680
325,Micheweni,-4.97,39.83,297.44,84,5,4.54,TZ,1598471680
326,Vila Velha,-20.33,-40.29,297.59,60,40,8.2,BR,1598471680
327,Bud,39.45,-86.18,305.37,65,0,2.67,US,1598471681
328,Senno,59.53,33.92,283.19,78,100,1.46,RU,1598471681
329,Yar-Sale,66.83,70.83,285.79,87,86,2.43,RU,1598471681
330,Ambo,-10.13,-76.2,299.15,34,20,9.3,PE,1598471681
331,Henties Bay,-22.12,14.28,287.04,88,0,2.36,NA,1598471681
332,Dalbandin,28.89,64.41,302.81,35,33,0.41,PK,1598471681
333,Cururupu,-1.83,-44.87,301.12,71,38,3.01,BR,1598471391
334,Asău,46.43,26.4,292.04,71,88,2.64,RO,1598471681
335,Port Lincoln,-34.73,135.87,284.61,78,0,3.48,AU,1598471400
336,Pacific Grove,36.62,-121.92,290.15,77,90,3.1,US,1598471457
337,Moultrie,31.18,-83.79,306.15,55,1,1.5,US,1598471681
338,Qaqortoq,60.72,-46.03,287.15,47,20,3.6,GL,1598471681
339,Aransas Pass,27.91,-97.15,307.59,70,40,4.1,US,1598471682
340,Labuan,5.28,115.24,297.15,100,20,2.31,MY,1598471450
341,Santa Cruz de la Sierra,-17.8,-63.17,305.15,40,0,12.3,BO,1598471421
342,George Town,5.41,100.34,300.15,88,20,1.5,MY,1598470887
343,Santa Rosa,14.31,121.11,301.15,83,100,1.5,PH,1598471616
344,Niquelândia,-14.47,-48.46,307.2,10,1,3.25,BR,1598471407
345,Zheleznodorozhnyy,55.75,38.0,287.15,93,50,1.0,RU,1598471682
346,Khani,41.96,42.96,293.15,94,40,1.5,GE,1598471682
347,Villazón,-22.09,-65.59,292.22,22,0,11.58,BO,1598471682
348,Tura,25.52,90.22,297.17,89,75,2.05,IN,1598471682
349,Camacha,33.08,-16.33,297.15,83,20,5.7,PT,1598471440
350,Egvekinot,66.32,-179.17,280.76,79,95,2.89,RU,1598471410
351,Havelock,34.88,-76.9,304.26,55,40,2.6,US,1598471616
352,Örnsköldsvik,63.29,18.72,280.15,87,0,2.1,SE,1598471682
353,Nokaneng,-19.67,22.27,295.49,21,0,2.92,BW,1598471683
354,Santa Maria da Vitória,-13.39,-44.19,303.7,14,0,2.91,BR,1598471683
355,San Quintín,30.48,-115.95,299.82,61,0,5.84,MX,1598471610
356,Ugoofaaru,5.67,73.0,301.3,71,100,5.08,MV,1598471683
357,Todos Santos,23.45,-110.22,300.37,77,11,2.68,MX,1598471393
358,Dombarovskiy,50.76,59.54,292.09,74,0,2.1,RU,1598471683
359,Katsuura,35.13,140.3,301.15,94,40,3.1,JP,1598471683
360,Wilmington Island,32.0,-80.97,308.15,66,75,3.1,US,1598471683
361,Akureyri,65.68,-18.09,283.15,81,89,4.1,IS,1598471683
362,College,64.86,-147.8,286.48,87,90,0.54,US,1598471683
363,Kalianget,-7.05,113.93,298.68,73,55,3.59,ID,1598471683
364,Fort Frances,48.6,-93.4,298.71,73,75,2.6,CA,1598471684
365,Matara,5.95,80.54,298.68,86,32,3.12,LK,1598471684
366,Dingle,11.0,122.67,296.83,86,75,0.85,PH,1598471684
367,Moroni,-11.7,43.26,297.1,78,2,1.23,KM,1598471684
368,Coyhaique,-45.58,-72.07,283.15,66,75,1.0,CL,1598471366
369,Colares,38.8,-9.45,299.26,73,20,8.7,PT,1598471684
370,Tevriz,57.51,72.4,284.91,96,99,2.37,RU,1598471559
371,Abonnema,4.71,6.79,301.15,74,20,3.78,NG,1598471684
372,Eenhana,-17.47,16.33,297.15,27,0,0.5,NA,1598471684
373,Balakhninskiy,58.01,114.28,279.23,68,0,1.8,RU,1598471684
374,Itarantim,-15.66,-40.07,296.88,55,4,3.17,BR,1598471684
375,Saint-Augustin,51.23,-58.65,290.52,63,21,11.63,CA,1598471684
376,Broome,42.25,-75.83,295.37,49,20,6.2,US,1598471684
377,Vagay,57.94,69.02,283.58,97,100,2.36,RU,1598471684
378,Lethem,3.38,-59.8,305.02,55,69,1.3,GY,1598471685
379,Ilulissat,69.22,-51.1,280.15,64,40,2.1,GL,1598471438
380,Anzoátegui,4.63,-75.1,301.15,69,40,3.1,CO,1598471685
381,Igrim,63.19,64.42,284.06,97,45,0.62,RU,1598471685
382,Okhotsk,59.38,143.3,282.13,81,100,4.65,RU,1598471444
383,Mujiayingzi,42.12,118.78,291.89,73,100,2.24,CN,1598471685
384,Hailar,49.2,119.7,285.54,82,0,4.34,CN,1598471685
385,Heihe,50.24,127.49,285.15,100,40,1.98,CN,1598471685
386,Vostok,46.49,135.88,286.6,90,57,1.42,RU,1598471685
387,Yerbogachën,61.28,108.01,279.3,68,60,2.62,RU,1598471685
388,Jacupiranga,-24.69,-48.0,293.18,71,0,1.94,BR,1598471685
389,Esperance,-33.87,121.9,280.15,100,0,3.6,AU,1598471685
390,Bathsheba,13.22,-59.52,301.15,83,75,6.2,BB,1598471685
391,Mayo,38.89,-76.51,303.15,48,1,2.1,US,1598471466
392,Meulaboh,4.14,96.13,297.81,87,9,2.31,ID,1598471344
393,Bako,5.78,36.57,292.02,77,11,1.48,ET,1598471685
394,Agadez,19.75,10.25,305.71,35,94,7.15,NE,1598471686
395,Shalakusha,62.22,40.25,284.59,97,100,2.25,RU,1598471686
396,Caravelas,-17.71,-39.25,295.52,73,0,5.47,BR,1598471442
397,Green River,41.53,-109.47,301.15,26,1,4.62,US,1598471561
398,Okha,53.57,142.95,283.35,91,59,1.97,RU,1598471454
399,Igarka,67.47,86.58,285.59,83,82,2.73,RU,1598471686
400,Galveston,29.37,-94.97,303.71,88,40,4.6,US,1598471686
401,Dongsheng,39.82,109.98,291.58,57,0,3.63,CN,1598471686
402,Kropotkin,45.44,40.58,293.8,37,69,2.9,RU,1598471466
403,Talnakh,69.49,88.4,286.15,87,99,3.0,RU,1598471445
404,Merauke,-8.47,140.33,298.39,82,99,8.14,ID,1598471686
405,Media Luna,20.14,-77.44,303.3,64,7,1.67,CU,1598471686
406,Rio Grande,-32.03,-52.1,298.15,65,99,5.1,BR,1598471170
407,Pisco,-13.7,-76.22,292.15,72,20,4.1,PE,1598471180
408,Cotonou,6.37,2.42,298.15,88,40,5.1,BJ,1598471686
409,Tahoua,14.89,5.27,302.15,70,20,3.1,NE,1598471687
410,Sola,-13.88,167.55,300.03,78,38,9.59,VU,1598471687
411,Baker City,44.77,-117.83,297.04,38,1,1.72,US,1598471687
412,Picayune,30.53,-89.68,303.71,84,100,5.53,US,1598471687
413,Pangody,65.85,74.49,285.23,80,84,2.24,RU,1598471687
414,Porto-Novo,6.5,2.6,298.15,88,40,5.1,BJ,1598471687
415,Kirakira,-10.45,161.92,300.16,82,100,5.85,SB,1598471467
416,Vestmanna,62.16,-7.17,282.15,76,75,3.1,FO,1598471687
417,Zhanakorgan,43.91,67.25,292.06,63,3,3.84,KZ,1598471687
418,Sibolga,1.74,98.78,297.58,84,85,1.78,ID,1598471404
419,Río Cuarto,-33.13,-64.35,291.15,42,20,7.7,AR,1598471687
420,Fort Nelson,58.81,-122.7,292.15,39,75,5.1,CA,1598471687
421,Saint Anthony,45.02,-93.22,306.48,46,1,8.7,US,1598471687
422,Birin,26.89,88.07,291.24,100,61,1.45,NP,1598471687
423,Ketchikan,55.34,-131.65,286.15,93,1,2.1,US,1598471688
424,Westport,41.14,-73.36,299.82,29,1,6.2,US,1598471688
425,Galle,6.04,80.22,299.98,80,72,3.07,LK,1598471688
426,Bad Goisern am Hallstättersee,47.64,13.62,295.15,35,22,2.1,AT,1598471688
427,Ballina,-28.87,153.57,283.15,93,90,1.5,AU,1598471688
428,Chara,56.91,118.26,277.69,71,0,0.18,RU,1598471688
429,Biak,-0.91,122.88,297.48,82,100,4.21,ID,1598471688
430,Alexandria,31.22,29.96,299.08,74,0,4.36,EG,1598471433
431,Natal,-5.79,-35.21,301.15,61,20,10.3,BR,1598471688
432,Karpathos,35.51,27.21,298.15,73,0,10.8,GR,1598471645
433,Shima,24.45,117.81,300.15,94,75,3.0,CN,1598471688
434,Kuytun,54.34,101.5,286.66,94,100,4.34,RU,1598471688
435,Ipixuna,-1.76,-48.8,304.15,62,31,4.6,BR,1598471688
436,Juneau,58.3,-134.42,286.15,87,90,4.6,US,1598471490
437,Praia,14.92,-23.51,301.15,78,75,5.1,CV,1598471688
438,Bandarbeyla,9.49,50.81,298.06,79,100,14.66,SO,1598471689
439,Stornoway,58.21,-6.39,285.15,71,0,3.6,GB,1598471689
440,Abnūb,27.27,31.15,303.08,19,0,3.36,EG,1598471689
441,Kemijärvi,66.71,27.43,281.35,91,99,1.76,FI,1598471689
442,Nioro,13.35,-15.75,297.69,92,100,4.23,GM,1598471689
443,Eyl,7.98,49.82,298.44,76,100,10.61,SO,1598471689
444,Maturin,9.75,-63.18,303.26,73,66,2.57,VE,1598471689
445,Namanyere,-7.52,31.05,292.42,54,21,1.87,TZ,1598471689
446,Aras,42.56,-2.36,300.15,54,9,2.1,ES,1598471397
447,Harrison,30.41,-89.04,305.15,70,20,10.3,US,1598471689
448,São João da Barra,-21.64,-41.05,297.15,60,75,8.2,BR,1598471689
449,Inuvik,68.35,-133.72,285.15,58,40,2.6,CA,1598471602
450,Netanya,32.33,34.86,300.37,74,40,2.1,IL,1598471677
451,Jieshi,22.81,115.83,301.9,80,98,3.32,CN,1598471690
452,Bānki,20.38,85.53,297.13,94,100,4.05,IN,1598471690
453,Guarujá,-23.99,-46.26,295.37,56,0,4.6,BR,1598471690
454,Mitsamiouli,-11.38,43.28,297.97,78,0,3.28,KM,1598471690
455,Kazanskaya,45.41,40.44,293.38,38,79,2.82,RU,1598471690
456,Walvis Bay,-22.96,14.51,287.15,76,0,2.6,NA,1598471690
457,Devonport,-41.17,146.35,283.71,85,77,3.24,AU,1598471690
458,Nouadhibou,20.93,-17.03,300.15,74,20,1.5,MR,1598471291
459,Hondomachi-hondo,32.45,130.2,300.71,80,97,6.98,JP,1598471419
460,Ewo,-0.87,14.82,298.19,78,99,1.46,CG,1598471690
461,Neuquén,-38.95,-68.06,289.15,44,67,1.5,AR,1598471690
462,Ciudad Bolivar,8.12,-63.55,305.89,50,57,2.3,VE,1598471690
463,Comodoro Rivadavia,-45.87,-67.5,285.15,62,50,3.1,AR,1598471690
464,Deputatsky,69.3,139.9,272.26,97,96,0.9,RU,1598471690
465,Yangi Marg`ilon,40.43,71.72,290.15,88,90,2.1,UZ,1598471691
466,Talā,30.68,30.94,294.22,85,0,1.18,EG,1598471691
467,Camacupa,-12.02,17.48,293.5,27,0,1.08,AO,1598471691
468,Starkville,33.45,-88.82,305.15,75,20,3.6,US,1598471414
469,Kieta,-6.22,155.63,299.11,78,1,2.8,PG,1598471691
470,Avera,33.19,-82.53,305.15,70,75,1.5,US,1598471691
471,Moerai,-22.43,-151.33,295.07,62,18,1.32,PF,1598471691
472,Kimamba,-6.78,37.13,296.28,73,48,3.53,TZ,1598471691
473,Nhulunbuy,-12.23,136.77,295.15,78,39,2.6,AU,1598471691
474,Berekum,7.45,-2.58,295.42,87,25,1.44,GH,1598471691
475,Kiryat Gat,31.61,34.76,300.37,70,0,1.32,IL,1598471691
476,Les Cayes,18.2,-73.75,302.69,69,0,3.73,HT,1598471441
477,Ossora,59.24,163.07,282.81,84,100,6.4,RU,1598471691
478,Shimoda,34.67,138.95,297.04,96,3,0.89,JP,1598471691
479,Tecpan,14.76,-90.99,292.04,44,76,0.45,GT,1598471691
480,Butembo,0.15,29.28,287.71,99,70,0.92,CD,1598471691
481,Ola,59.58,151.28,282.3,59,82,1.37,RU,1598471691
482,Puerto Escondido,15.85,-97.07,296.15,60,90,2.6,MX,1598471298
483,Inongo,-1.95,18.27,296.33,81,100,2.84,CD,1598471691
484,Gondanglegi,-7.75,112.01,295.31,78,100,4.76,ID,1598471691
485,Makakilo City,21.35,-158.09,302.15,58,20,3.6,US,1598471477
486,Menongue,-14.66,17.69,291.0,43,0,1.58,AO,1598471692
487,Laas,46.62,10.7,290.15,45,5,1.5,IT,1598471692
488,Tynda,55.17,124.72,276.42,92,11,1.55,RU,1598471692
489,Trofors,65.53,13.41,283.15,76,75,1.0,NO,1598471692
490,Bilibino,68.05,166.44,278.1,89,100,0.3,RU,1598471692
491,Sena Madureira,-9.07,-68.66,310.01,19,5,1.23,BR,1598471692
492,Khandyga,62.67,135.6,276.16,79,0,0.49,RU,1598471449
493,Carutapera,-1.2,-46.02,300.5,76,2,4.38,BR,1598471692
494,Villagrán,20.52,-100.98,298.15,61,69,4.69,MX,1598471692
495,Ludvika,60.15,15.19,283.15,81,1,2.1,SE,1598471692
496,Payo,-3.75,103.64,293.83,87,0,0.93,ID,1598471415
497,Griffith,41.53,-87.42,306.48,49,40,5.7,US,1598471568
498,Sohag,26.56,31.69,302.76,20,0,2.73,EG,1598471692
499,Flinders,-34.58,150.86,279.82,83,26,1.34,AU,1598471417
500,Brownsburg,39.84,-86.4,306.48,55,20,3.6,US,1598471692
501,Weiser,44.25,-116.97,303.15,39,20,1.5,US,1598471477
502,Ambon City,-3.7,128.18,299.82,14,100,0.89,ID,1598471441
503,Nome,64.5,-165.41,286.48,76,75,2.6,US,1598471455
504,Upata,8.01,-62.4,305.93,61,92,4.47,VE,1598471450
505,Pajapan,18.25,-94.7,305.15,62,75,3.19,MX,1598471693
506,Sosnovo-Ozerskoye,52.52,111.54,283.45,90,100,4.79,RU,1598471425
507,Pleasanton,37.66,-121.87,297.59,50,1,4.1,US,1598471504
508,Dalhousie,32.53,75.98,290.39,100,50,1.11,IN,1598471693
509,Vanimo,-2.67,141.3,298.11,86,70,2.55,PG,1598471693
510,Mehamn,71.04,27.85,281.15,93,75,3.1,NO,1598471693
511,Bozoum,6.32,16.38,294.19,93,100,0.42,CF,1598471693
512,Faanui,-16.48,-151.75,298.02,84,6,6.73,PF,1598471116
513,Primorsko-Akhtarsk,46.05,38.17,294.63,71,65,3.72,RU,1598471693
514,Pingliang,35.54,106.69,290.31,78,0,0.96,CN,1598471693
515,Prome,18.82,95.22,297.01,96,100,2.58,MM,1598471694
516,Champerico,14.3,-91.92,304.15,70,40,6.2,GT,1598471413
517,Ulaangom,49.98,92.07,283.89,52,0,2.04,MN,1598471694
518,Ust-Tsilma,65.44,52.15,285.86,64,100,3.59,RU,1598471694
519,Byumba,-1.58,30.07,297.15,53,40,4.1,RW,1598471694
520,Āwash,8.98,40.17,298.71,62,100,4.13,ET,1598471694
521,Arrondissement de Mont-de-Marsan,44.0,-0.67,297.15,69,20,3.1,FR,1598471694
522,Laguna,38.42,-121.42,303.15,42,1,4.1,US,1598471475
523,San Jerónimo,-11.95,-75.28,293.38,25,13,4.48,PE,1598471694
524,Kumul,42.8,93.45,293.42,24,0,5.14,CN,1598471694
525,Arman',59.7,150.17,281.82,57,65,1.59,RU,1598471694
526,Vytegra,61.01,36.45,284.19,85,54,3.29,RU,1598471694
527,Jinchang,38.5,102.17,294.14,24,37,9.91,CN,1598471694
528,Hanmer Springs,-42.52,172.82,277.34,79,100,0.76,NZ,1598471694
529,Halifax,44.65,-63.57,293.71,41,0,2.24,CA,1598471375
530,Mutoko,-17.4,32.23,290.58,55,0,2.41,ZW,1598471694
531,Port Hardy,50.7,-127.42,287.15,87,75,2.1,CA,1598471460
532,Portland,45.52,-122.68,297.04,56,20,3.6,US,1598471277
533,Vao,-22.67,167.48,292.72,63,83,7.93,NC,1598471695
534,Cayenne,4.93,-52.33,305.15,62,75,4.1,GF,1598471401
535,Waverly,42.74,-84.62,303.71,58,1,5.1,US,1598471695
536,Sainte-Maxime,43.3,6.63,303.15,42,38,7.7,FR,1598471695
537,Lakes Entrance,-37.88,147.98,277.04,89,0,4.15,AU,1598471695
538,Airai,-8.93,125.41,287.56,84,25,2.3,TL,1598471695
539,Wilmington,34.23,-77.94,306.48,43,1,2.6,US,1598471526
540,Texarkana,33.43,-94.05,301.15,74,75,6.7,US,1598471695
541,Lichtenburg,-26.15,26.16,291.9,26,100,3.78,ZA,1598471695
542,Mormugao,15.4,73.8,299.1,78,100,1.5,IN,1598471695
543,Garachiné,8.06,-78.36,300.33,68,24,5.32,PA,1598471696
544,Mackay,-21.15,149.2,290.15,77,23,4.6,AU,1598471696
545,La Santisima Trinidad,-14.83,-64.9,306.15,49,20,5.1,BO,1598471470
546,Eureka,40.8,-124.16,292.59,29,28,1.79,US,1598471571
547,Gardiner,44.23,-69.78,294.26,34,1,4.6,US,1598471696
548,Porto Walter,-8.27,-72.74,307.98,27,85,1.88,BR,1598471696
549,Bhachāu,23.28,70.35,300.52,80,89,6.87,IN,1598471696
550,Kargil,34.57,76.1,287.71,55,41,2.46,IN,1598471696
551,Wairoa,-39.03,177.37,279.82,80,0,2.24,NZ,1598471696
552,Aykhal,66.0,111.5,283.15,57,40,2.0,RU,1598471468
553,Merke,42.87,73.18,288.63,72,100,1.79,KZ,1598471696
554,Teahupoo,-17.83,-149.27,301.15,69,40,3.6,PF,1598471696
555,Qeshm,26.96,56.27,305.15,70,99,2.1,IR,1598471696
556,Pevek,69.7,170.31,275.16,95,100,3.35,RU,1598471697
557,Doha,25.29,51.53,307.15,70,5,3.1,QA,1598471528
558,Dalvik,65.97,-18.53,283.15,81,100,4.1,IS,1598471419
559,Huntsville,34.73,-86.59,302.15,83,40,1.5,US,1598471262
560,Zaliznychne,45.75,28.61,295.31,34,99,1.47,UA,1598471697
561,Genhe,50.78,121.52,280.61,86,0,1.73,CN,1598471697
562,Venado Tuerto,-33.75,-61.97,287.04,82,93,4.92,AR,1598471697
563,Port Keats,-14.25,129.55,293.06,41,0,3.88,AU,1598471615
564,Kadyy,57.79,43.19,287.59,96,100,1.17,RU,1598471697
565,Namatanai,-3.67,152.43,299.36,83,27,3.86,PG,1598471410
566,Orange Cove,36.62,-119.31,305.37,48,1,2.1,US,1598471697
567,West Bay,19.37,-81.42,305.15,70,40,6.7,KY,1598471697
568,Potsdam,52.4,13.07,289.82,80,100,1.34,DE,1598471472
569,Tynset,62.28,10.78,280.15,93,86,1.5,NO,1598471697
570,Monrovia,6.3,-10.8,299.15,83,75,3.1,LR,1598471548
571,Tutóia,-2.76,-42.27,300.63,74,3,4.06,BR,1598471698
572,Antofagasta,-23.65,-70.4,289.15,72,40,7.7,CL,1598471651
573,Greytown,-29.06,30.59,281.87,84,83,1.12,ZA,1598471698
574,Saint-François,46.42,3.91,293.15,56,99,2.1,FR,1598471698
575,Bahir Dar,11.59,37.39,289.01,93,79,2.29,ET,1598471698
576,Serenje,-13.23,30.24,293.39,40,40,3.21,ZM,1598471698
577,Japoatã,-10.35,-36.8,295.52,75,0,3.21,BR,1598471698
578,Palmer,42.16,-72.33,297.59,29,1,7.7,US,1598471362
579,Launceston,-41.45,147.17,280.93,100,90,5.1,AU,1598471389
580,Anadyr,64.75,177.48,282.15,100,40,1.09,RU,1598471698
581,Christchurch,-43.53,172.63,280.93,93,3,3.6,NZ,1598471698
582,Kununurra,-15.77,128.73,292.15,29,49,3.1,AU,1598471698
583,Morant Bay,17.88,-76.41,301.48,78,75,14.4,JM,1598471698
584,Whithorn,18.26,-78.04,304.26,83,75,4.6,JM,1598471698
585,Carquefou,47.3,-1.49,290.37,77,60,1.5,FR,1598471699
586,Hilton Head,32.22,-80.75,307.04,70,40,3.1,US,1598471699
